category,company,date_posted,desc,link,location,title
Developer,Ajira Connect Limited ,5th Aug 2019,"Degree in Computer Science/IT or related field.Minimum of 3 years working as a web software developer.Proficiency with PHP and Yii Framework is a MUST.Proficiency with fundamental front end languages such as HTML, CSS and JavaScript.Proficiency with other server side languages such as…",https://ihub.co.ke/jobs/view/4805/experienced-web-software-developer-full-stack-developer,"Nairobi, KE",Experienced Web Software Developer (Full Stack Developer)
Developer,Ajira Connect Limited ,5th Aug 2019,"Job Description/Duties and Responsibilties· Work as part of the company’s core development team, creating features and optimizing existing functionality.· Deploy code on a…",https://ihub.co.ke/jobs/view/4804/experienced-mobile-software-developer,"Nairobi, KE",Experienced Mobile Software Developer
Other,APA Insurance Ltd ,2nd Aug 2019,"About APA Insurance Limited:APA Insurance Limited, a wholly owned subsidiary of Apollo Investments Limited (Apollo Group), one of the leading financial groups in East Africa.Since our founding in 1977, our mission has been to provide present and future peace of mind to the East African…",https://ihub.co.ke/jobs/view/4800/vendor-manager,"Nairobi, KE",VENDOR MANAGER
Other,APA Insurance Ltd ,2nd Aug 2019,"About APA Insurance Limited:APA Insurance Limited, a wholly owned subsidiary of Apollo Investments Limited (Apollo Group), one of the leading financial groups in East Africa.Since our founding in 1977, our mission has been to provide present and future peace of mind to the East African…",https://ihub.co.ke/jobs/view/4799/senior-systems-analyst,"Nairobi, KE",SENIOR SYSTEMS ANALYST
Other,APA Insurance Ltd ,2nd Aug 2019," About APA Insurance Limited:APA Insurance Limited, a wholly owned subsidiary of Apollo Investments Limited (Apollo Group), one of the leading financial groups in East Africa.Since our founding in 1977, our mission has been to provide present and future peace of mind to the East African…",https://ihub.co.ke/jobs/view/4798/enterprise-architect,"Nairobi, KE",ENTERPRISE ARCHITECT
Designer,APA Insurance Ltd ,2nd Aug 2019,"About APA Insurance Limited:APA Insurance Limited, a wholly owned subsidiary of Apollo Investments Limited (Apollo Group), one of the leading financial groups in East Africa.Since our founding in 1977, our mission has been to provide present and future peace of mind to the East African…",https://ihub.co.ke/jobs/view/4797/design-lead,"Nairobi, KE",DESIGN LEAD
Other,APA Insurance Ltd ,2nd Aug 2019,"About APA Insurance Limited:APA Insurance Limited, a wholly owned subsidiary of Apollo Investments Limited (Apollo Group), one of the leading financial groups in East Africa.Since our founding in 1977, our mission has been to provide present and future peace of mind to the East African…",https://ihub.co.ke/jobs/view/4796/agile-coach,"Nairobi, KE",AGILE COACH
Developer,APA Insurance Ltd ,2nd Aug 2019,"About APA Insurance Limited:APA Insurance Limited, a wholly owned subsidiary of Apollo Investments Limited (Apollo Group), one of the leading financial groups in East Africa.Since our founding in 1977, our mission has been to provide present and future peace of mind to the East African…",https://ihub.co.ke/jobs/view/4794/developer,"Nairobi, KE",DEVELOPER
Other,Soko Inc. ,1st Aug 2019,Soko is seeking a Technical Support Intern to join our growing development team. The ideal candidate will serve as a resource and local primary point of contact for user-related issues and requests for IT services and support and will provide high-quality end-user services to all employees and…,https://ihub.co.ke/jobs/view/4793/technical-support-intern,"Nairobi, KE",Technical Support Intern
Developer,Invent Consulting Limited ,31st Jul 2019,"Invent Consulting Ltd is a software development company offering enterprise software solutions, CRM solutions, business Intelligence solutions and custom web and mobile solutions that help organizations operate efficiently, profitably and productively.We are looking for a talented and passionate…",https://ihub.co.ke/jobs/view/4791/sql-developer,"Nairobi, KE",SQL Developer
